direction,session_id,quality,start_15,start_16,start_17,start_18,start_19,start_20,start_21,end_15,end_16,end_17,end_18,end_19,end_20,end_21
down,20260716_104814,0.95,-0.267068,0.844660,0.857963,0.855734,-0.491761,0.058819,0.030716,-0.055643,0.091943,0.475977,1.424553,0.450739,-0.194432,0.031051
up,20260716_104814,0.99,-0.011888,0.108553,0.475954,1.424205,0.450775,-0.194396,0.031075,-2.482388,0.490898,0.300852,0.975756,0.331592,0.216938,0.031794
right,20260716_104814,0.89,-2.310487,0.490323,0.328583,0.973682,0.158096,0.089199,0.031830,-0.455449,0.081349,-0.889481,-0.037858,-0.360569,0.314826,-0.035413
forward,20260716_104814,0.92,-0.432846,0.074590,-0.847728,-0.048872,-0.183263,0.235214,0.018012,-0.780437,0.249727,0.094244,1.099433,-0.140467,-0.158491,0.103460
left,20260716_104814,0.76,-0.743981,0.275385,0.094556,0.998945,-0.140599,-0.158024,0.097827,-0.229702,0.631629,0.890140,0.822154,-0.149503,-0.235514,0.043970
back,20260716_104814,0.65,-0.216507,0.624414,1.016250,0.821243,-0.386659,-0.323023,-0.013434,0.612957,-0.030752,0.079851,-0.759860,-0.313543,-0.018791,-0.132222
right,20260716_104814,0.88,-0.087197,0.126577,0.094112,0.967391,0.017629,-0.157389,-0.076783,-0.388517,0.178229,-0.738588,-0.075381,-0.134607,0.017233,-0.056709
down,20260716_104814,1.00,-0.333892,0.218233,-0.847632,-0.012835,-0.138058,-0.087089,-0.123354,0.057345,0.178853,-0.025131,1.307503,-0.140575,-0.282624,-0.113467
# session 20260716_104814 | 20 samples saved | avg quality 0.91 | ended
# session 20260716_104941 | arm=left | target=60 samples | started
left,20260716_104941,0.96,-0.588653,0.204127,0.272222,0.530614,-0.321345,0.056829,-0.047458,-0.038913,0.543017,1.194612,0.582877,-0.314107,-0.217669,-0.056434
forward,20260716_104941,0.97,-0.064343,0.551706,1.181297,0.582385,-0.134858,-0.244370,-0.056446,-0.857735,0.177379,0.182915,0.855134,0.135470,0.019966,0.204954
back,20260716_104941,0.69,-0.820404,0.040435,0.179727,0.855758,0.136321,-0.001498,0.204942,0.819242,0.342689,-0.072936,-0.955418,-0.184869,0.192455,0.201754
up,20260716_104941,0.97,0.740481,0.238738,-0.231943,-0.597198,0.002637,0.045983,0.204894,-2.352851,0.379085,0.249799,0.856680,0.332730,0.086862,0.204427
right,20260716_104941,0.93,-2.183801,0.431085,0.239445,0.846266,0.188021,-0.020361,0.159354,-0.440696,0.277567,-0.977445,-0.137555,-0.447491,0.146567,0.156682
down,20260716_104941,1.00,-0.410460,0.326007,-0.986446,-0.124492,-0.336241,0.040423,0.156502,0.076795,0.275889,-0.612406,1.446915,-0.343803,-0.429047,0.161284
left,20260716_104941,0.65,0.079731,0.272306,-0.612370,1.446999,-0.343839,-0.429107,0.161284,-0.416356,0.834522,0.658258,0.798389,-0.623096,-0.039788,0.161236
up,20260716_104941,0.96,-0.297724,0.774481,0.684048,0.774313,-0.381793,-0.131635,0.161044,-2.587239,0.412689,0.096437,1.074589,0.154764,0.103532,0.161188
back,20260716_104941,0.85,-0.190525,0.080870,0.205446,0.740026,0.255959,-0.410879,0.156214,0.762281,-0.022015,-0.111130,-0.581882,0.009671,-0.234723,-0.032417
right,20260716_104941,0.90,0.856764,0.036348,-0.122071,-0.681411,0.009156,-0.148616,-0.035006,-0.572079,-0.035845,-0.841472,0.095718,-0.039967,0.217334,-0.162518
down,20260716_104941,0.87,-0.572846,-0.016910,-0.868461,0.149911,-0.038949,0.088827,-0.057069,0.134739,0.108098,0.035785,1.376568,0.034718,-0.233501,-0.047793
